"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","United Kingdom Net","Count","-15"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Rest of world Inflows","Count","437"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Rest of world Outflows","Count","529"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Rest of world Net","Count","-92"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Total Inflows","Count","4457"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Total Outflows","Count","4293"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Total Net","Count","164"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Other changes","Count","522"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","Migration and other changes","Count","686"
"Components of population change - Local Government Districts","2014-2015","Ards and North Down","End population","Count","158797"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Starting population","Count","140467"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Births","Count","1802"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Deaths","Count","1213"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Natural Change","Count","589"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Internal Inflows","Count","3984"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Internal Outflows","Count","3910"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Internal Net","Count","74"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","United Kingdom Inflows","Count","669"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","United Kingdom Outflows","Count","705"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","United Kingdom Net","Count","-36"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Rest of world Inflows","Count","652"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Rest of world Outflows","Count","726"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Rest of world Net","Count","-74"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Total Inflows","Count","5305"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Total Outflows","Count","5341"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Total Net","Count","-36"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Other changes","Count","12"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","Migration and other changes","Count","-24"
"Components of population change - Local Government Districts","2015-2016","Antrim and Newtownabbey","End population","Count","141032"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Starting population","Count","207797"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Births","Count","3005"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Deaths","Count","1533"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Natural Change","Count","1472"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","3986"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","3799"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Internal Net","Count","187"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","922"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","898"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","24"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1856"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","907"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","949"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Total Inflows","Count","6764"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5604"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Total Net","Count","1160"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Other changes","Count","-169"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","991"
"Components of population change - Local Government Districts","2015-2016","Armagh City, Banbridge and Craigavon","End population","Count","210260"
"Components of population change - Local Government Districts","2015-2016","Belfast","Starting population","Count","338907"
"Components of population change - Local Government Districts","2015-2016","Belfast","Births","Count","4563"
"Components of population change - Local Government Districts","2015-2016","Belfast","Deaths","Count","3086"
"Components of population change - Local Government Districts","2015-2016","Belfast","Natural Change","Count","1477"
"Components of population change - Local Government Districts","2015-2016","Belfast","Internal Inflows","Count","13007"
"Components of population change - Local Government Districts","2015-2016","Belfast","Internal Outflows","Count","13955"
"Components of population change - Local Government Districts","2015-2016","Belfast","Internal Net","Count","-948"
"Components of population change - Local Government Districts","2015-2016","Belfast","United Kingdom Inflows","Count","2512"
"Components of population change - Local Government Districts","2015-2016","Belfast","United Kingdom Outflows","Count","2547"
"Components of population change - Local Government Districts","2015-2016","Belfast","United Kingdom Net","Count","-35"
"Components of population change - Local Government Districts","2015-2016","Belfast","Rest of world Inflows","Count","4253"
"Components of population change - Local Government Districts","2015-2016","Belfast","Rest of world Outflows","Count","4833"
"Components of population change - Local Government Districts","2015-2016","Belfast","Rest of world Net","Count","-580"
"Components of population change - Local Government Districts","2015-2016","Belfast","Total Inflows","Count","19772"
"Components of population change - Local Government Districts","2015-2016","Belfast","Total Outflows","Count","21335"
"Components of population change - Local Government Districts","2015-2016","Belfast","Total Net","Count","-1563"
"Components of population change - Local Government Districts","2015-2016","Belfast","Other changes","Count","758"
"Components of population change - Local Government Districts","2015-2016","Belfast","Migration and other changes","Count","-805"
"Components of population change - Local Government Districts","2015-2016","Belfast","End population","Count","339579"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Starting population","Count","143148"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Births","Count","1672"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Deaths","Count","1143"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Natural Change","Count","529"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Internal Inflows","Count","3806"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Internal Outflows","Count","3870"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Internal Net","Count","-64"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","United Kingdom Inflows","Count","855"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","United Kingdom Outflows","Count","809"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","United Kingdom Net","Count","46"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Rest of world Inflows","Count","650"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Rest of world Outflows","Count","907"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Rest of world Net","Count","-257"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Total Inflows","Count","5311"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Total Outflows","Count","5586"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Total Net","Count","-275"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Other changes","Count","123"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","Migration and other changes","Count","-152"
"Components of population change - Local Government Districts","2015-2016","Causeway Coast and Glens","End population","Count","143525"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Starting population","Count","149473"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Births","Count","2071"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Deaths","Count","1137"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Natural Change","Count","934"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Internal Inflows","Count","2529"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Internal Outflows","Count","2940"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Internal Net","Count","-411"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","United Kingdom Inflows","Count","809"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","United Kingdom Outflows","Count","902"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","United Kingdom Net","Count","-93"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Rest of world Inflows","Count","618"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Rest of world Outflows","Count","693"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Rest of world Net","Count","-75"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Total Inflows","Count","3956"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Total Outflows","Count","4535"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Total Net","Count","-579"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Other changes","Count","314"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","Migration and other changes","Count","-265"
"Components of population change - Local Government Districts","2015-2016","Derry City and Strabane","End population","Count","150142"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Starting population","Count","115311"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Births","Count","1518"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Deaths","Count","957"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Natural Change","Count","561"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Internal Inflows","Count","2008"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Internal Outflows","Count","2106"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Internal Net","Count","-98"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","United Kingdom Inflows","Count","750"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","United Kingdom Outflows","Count","695"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","United Kingdom Net","Count","55"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Rest of world Inflows","Count","688"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Rest of world Outflows","Count","564"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Rest of world Net","Count","124"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Total Inflows","Count","3446"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Total Outflows","Count","3365"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Total Net","Count","81"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Other changes","Count","-154"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","Migration and other changes","Count","-73"
"Components of population change - Local Government Districts","2015-2016","Fermanagh and Omagh","End population","Count","115799"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Starting population","Count","140205"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Births","Count","1719"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Deaths","Count","1116"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Natural Change","Count","603"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Internal Inflows","Count","5066"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Internal Outflows","Count","4211"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Internal Net","Count","855"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","United Kingdom Inflows","Count","847"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","United Kingdom Outflows","Count","961"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","United Kingdom Net","Count","-114"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Rest of world Inflows","Count","454"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Rest of world Outflows","Count","687"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Rest of world Net","Count","-233"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Total Inflows","Count","6367"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Total Outflows","Count","5859"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Total Net","Count","508"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Other changes","Count","-135"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","Migration and other changes","Count","373"
"Components of population change - Local Government Districts","2015-2016","Lisburn and Castlereagh","End population","Count","141181"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Starting population","Count","137145"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Births","Count","1538"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Deaths","Count","1280"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Natural Change","Count","258"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Internal Inflows","Count","2822"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Internal Outflows","Count","2780"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Internal Net","Count","42"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","United Kingdom Inflows","Count","737"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","United Kingdom Outflows","Count","735"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","United Kingdom Net","Count","2"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Rest of world Inflows","Count","948"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Rest of world Outflows","Count","396"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Rest of world Net","Count","552"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Total Inflows","Count","4507"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Total Outflows","Count","3911"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Total Net","Count","596"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Other changes","Count","-178"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","Migration and other changes","Count","418"
"Components of population change - Local Government Districts","2015-2016","Mid and East Antrim","End population","Count","137821"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Starting population","Count","144002"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Births","Count","2172"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Deaths","Count","1001"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Natural Change","Count","1171"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Internal Inflows","Count","2845"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Internal Outflows","Count","2999"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Internal Net","Count","-154"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","United Kingdom Inflows","Count","566"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","United Kingdom Outflows","Count","486"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","United Kingdom Net","Count","80"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Rest of world Inflows","Count","1200"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Rest of world Outflows","Count","592"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Rest of world Net","Count","608"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Total Inflows","Count","4611"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Total Outflows","Count","4077"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Total Net","Count","534"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Other changes","Count","-318"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","Migration and other changes","Count","216"
"Components of population change - Local Government Districts","2015-2016","Mid Ulster","End population","Count","145389"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Starting population","Count","176369"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Births","Count","2565"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Deaths","Count","1335"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Natural Change","Count","1230"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Internal Inflows","Count","3379"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Internal Outflows","Count","3455"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Internal Net","Count","-76"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","United Kingdom Inflows","Count","926"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","United Kingdom Outflows","Count","892"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","United Kingdom Net","Count","34"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Rest of world Inflows","Count","1178"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Rest of world Outflows","Count","780"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Rest of world Net","Count","398"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Total Inflows","Count","5483"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Total Outflows","Count","5127"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Total Net","Count","356"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Other changes","Count","-139"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","Migration and other changes","Count","217"
"Components of population change - Local Government Districts","2015-2016","Newry, Mourne and Down","End population","Count","177816"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Starting population","Count","158797"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Births","Count","1754"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Deaths","Count","1540"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Natural Change","Count","214"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Internal Inflows","Count","3064"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Internal Outflows","Count","2471"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Internal Net","Count","593"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","United Kingdom Inflows","Count","1213"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","United Kingdom Outflows","Count","1176"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","United Kingdom Net","Count","37"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Rest of world Inflows","Count","501"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Rest of world Outflows","Count","455"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Rest of world Net","Count","46"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Total Inflows","Count","4778"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Total Outflows","Count","4102"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Total Net","Count","676"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Other changes","Count","-94"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","Migration and other changes","Count","582"
"Components of population change - Local Government Districts","2015-2016","Ards and North Down","End population","Count","159593"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Starting population","Count","141032"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Births","Count","1683"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Deaths","Count","1166"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Natural Change","Count","517"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Internal Inflows","Count","4083"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Internal Outflows","Count","3774"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Internal Net","Count","309"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","United Kingdom Inflows","Count","639"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","United Kingdom Outflows","Count","662"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","United Kingdom Net","Count","-23"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Rest of world Inflows","Count","557"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Rest of world Outflows","Count","663"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Rest of world Net","Count","-106"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Total Inflows","Count","5279"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Total Outflows","Count","5099"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Total Net","Count","180"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Other changes","Count","-32"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","Migration and other changes","Count","148"
"Components of population change - Local Government Districts","2016-2017","Antrim and Newtownabbey","End population","Count","141697"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Starting population","Count","210260"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Births","Count","2895"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Deaths","Count","1598"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Natural Change","Count","1297"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","4053"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","4149"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Internal Net","Count","-96"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","959"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","882"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","77"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1442"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","737"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","705"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Total Inflows","Count","6454"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5768"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Total Net","Count","686"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Other changes","Count","-345"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","341"
"Components of population change - Local Government Districts","2016-2017","Armagh City, Banbridge and Craigavon","End population","Count","211898"
"Components of population change - Local Government Districts","2016-2017","Belfast","Starting population","Count","339579"
"Components of population change - Local Government Districts","2016-2017","Belfast","Births","Count","4470"
"Components of population change - Local Government Districts","2016-2017","Belfast","Deaths","Count","3193"
"Components of population change - Local Government Districts","2016-2017","Belfast","Natural Change","Count","1277"
"Components of population change - Local Government Districts","2016-2017","Belfast","Internal Inflows","Count","12796"
"Components of population change - Local Government Districts","2016-2017","Belfast","Internal Outflows","Count","14231"
"Components of population change - Local Government Districts","2016-2017","Belfast","Internal Net","Count","-1435"
"Components of population change - Local Government Districts","2016-2017","Belfast","United Kingdom Inflows","Count","2628"
"Components of population change - Local Government Districts","2016-2017","Belfast","United Kingdom Outflows","Count","2288"
"Components of population change - Local Government Districts","2016-2017","Belfast","United Kingdom Net","Count","340"
"Components of population change - Local Government Districts","2016-2017","Belfast","Rest of world Inflows","Count","4254"
"Components of population change - Local Government Districts","2016-2017","Belfast","Rest of world Outflows","Count","4813"
"Components of population change - Local Government Districts","2016-2017","Belfast","Rest of world Net","Count","-559"
"Components of population change - Local Government Districts","2016-2017","Belfast","Total Inflows","Count","19678"
"Components of population change - Local Government Districts","2016-2017","Belfast","Total Outflows","Count","21332"
"Components of population change - Local Government Districts","2016-2017","Belfast","Total Net","Count","-1654"
"Components of population change - Local Government Districts","2016-2017","Belfast","Other changes","Count","1018"
"Components of population change - Local Government Districts","2016-2017","Belfast","Migration and other changes","Count","-636"
"Components of population change - Local Government Districts","2016-2017","Belfast","End population","Count","340220"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Starting population","Count","143525"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Births","Count","1624"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Deaths","Count","1242"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Natural Change","Count","382"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Internal Inflows","Count","3848"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Internal Outflows","Count","3933"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Internal Net","Count","-85"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","United Kingdom Inflows","Count","834"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","United Kingdom Outflows","Count","793"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","United Kingdom Net","Count","41"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Rest of world Inflows","Count","510"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Rest of world Outflows","Count","678"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Rest of world Net","Count","-168"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Total Inflows","Count","5192"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Total Outflows","Count","5404"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Total Net","Count","-212"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Other changes","Count","225"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","Migration and other changes","Count","13"
"Components of population change - Local Government Districts","2016-2017","Causeway Coast and Glens","End population","Count","143920"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Starting population","Count","150142"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Births","Count","1947"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Deaths","Count","1201"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Natural Change","Count","746"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Internal Inflows","Count","2776"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Internal Outflows","Count","3121"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Internal Net","Count","-345"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","United Kingdom Inflows","Count","880"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","United Kingdom Outflows","Count","881"
